cleaned_text,label,intensity
pls dont insult word 'molna ',anger,0.479
would almost took offense actually snapped,anger,0.458
rutgers game abomination . affront god man . must never speak .,anger,0.562
"'s lisa asked started raging , 'can call ? ' heh",anger,0.5
sometimes get mad something minuscule try ruin somebodies life like lose job like get federal prison,anger,0.708
sometimes get mad something minuscule try ruin somebodies life like lose job like get federal prison # anger,anger,0.646
think & amp ; must actually working like & amp ; havent got snap chat videos today,anger,0.25
eyes dilated . hate world right rage thousand fiery dragons . need drink .,anger,0.812
"one chosen clp members ! mp seats people dole mates , elect candidates . # fuming",anger,0.682
"one chosen clp members ! mp seats people dole mates , elect candidates .",anger,0.438
"please canadian players play us players , lag atrocious . # fixthisgame # trash # sfvrefund",anger,0.646
love theres outrage 's white man black man blm would regardless reason,anger,0.726
"dean really saving lot ppl , bc n't snap nomore & amp ; take much ..",anger,0.348
sorry guys absolutely idea time 'll cam tomorrow keep posted . # fuming,anger,0.417
sorry guys absolutely idea time 'll cam tomorrow keep posted .,anger,0.202
", ding wearing look man 's found arch enemy bed missus ? # angryman",anger,0.557
", ding wearing look man 's found arch enemy bed missus ? # angryman # scowl",anger,0.5
fuck madden way harder,anger,0.521
obama must fuming .. lol,anger,0.5
hate guys cant control anger 🙃🙃,anger,0.646
"[ ] * would frown bit , folding arms * 'why every time 'm need assistance someone expects lil * *",anger,0.5
literally fuming fuck sake,anger,0.86
oh 's brian ! invite ?,anger,0.438
oh 's brian ! invite ? # offended,anger,0.417
"- frustration , looking elphaba frown aggravation . high pitched voice growing --",anger,0.604
's magical time year ...... xmas party announced # outrage commences . got ta love silicon valley millennials .,anger,0.429
"sitting wrapped fluffy blanket , incense burning , listening bon iver drinking mulled wine . 'm .",anger,0.25
take k numbers madden low dropped people unhappy,anger,0.586
would n't # anger issues ..... n't # lying issues ..... think one . # pow # lies # confusion,anger,0.5
fight guy ! n't insult lions like ! seriously kinda are.wasted best players,anger,0.708
everybody talking 'the first day fall ' summer ' never gon na die # revenge,anger,0.417
rage died .,anger,0.438
"ananya grabbed bible , opened , started reading , said 'where talk burning people ? '",anger,0.417
brian sleep aggravate,anger,0.833
true ... \nthey r burning 's pleasure ! \nppl true love happiness everywhere _😃,anger,0.312
opinion worst delhi govt ? # acrid # bitter # hypocrisy,anger,0.708
opinion worst delhi govt ? # acrid # hypocrisy,anger,0.526
live die mchanzo honeymoon crashing burning second move together,anger,0.479
first time madden career set farm account . make motm much easier,anger,0.271
b * * * er . ncfc grudge match : ),anger,0.542
might leave aggravate bae,anger,0.417
"realest ever , relentless ever , inevitable win .",anger,0.415
"kik trade , fun conversation ( kik : youraffair ) # kik # kikme # messageme # textme # pics # trade # tradepics # dm # bored",anger,0.241
"kik trade , fun conversation ( kik : youraffair ) # kik # kikme # messageme # textme # pics # trade # tradepics # dm # snap # bored",anger,0.167
"'re thirsty chance disagree w/ left , n't even realize something affront bigoted platform .",anger,0.5
